review,rating,date,title
"안 봐도 비디오. 타노스 잡자고 저글링하겠지. 재미도 없네. 방금 네이버에서 빌려서 봤는데. 난 솔직히 비매너 관객땜시 영화관 안 간다. 폰보고 전화통화하고 떠들고 의자 움직이고 의자 연결된 것 모르지? 뭘 알겠냐. 화장실 왔다갔다. 난 영화관은 안가 비싸기도 하고. 나중에 보면 되지. 근데, 가모라 죽이고, 비전 죽이고, 스파이더맨등등 흙먼지가 되어 없어지고, 뭐냐? 저글링해도 지네. 지는 걸로 끝났잖아. 어벤져스: 인피니티 워 다음편은 이기냐? 도대체 어떻게 이길라고? 스타크도 목숨 구걸하고. 대신 타임스톤 줘버리고. 야... 영화관 안 가길 정말 잘했다. 4400원은 뭐 그냥 궁금해서 썼다생각하지 뭐.",0,2018.09.01,인피니티 워
"처음 봤을때는 마케팅 쩐다고 생각했는데, 한번 더 보고 완전 명작이라는 걸 깨닫게 됐다",10,2018.08.30,인피니티 워
역대 시리즈를 모르면 내용 이해불가 볼거리는 풍성해졌으나 이야기는 중구난방 짧은시간에 너무 많은 서사를 담은...,5,2018.08.27,인피니티 워
내용을 세세하게 몰라도 재밌게 볼 수 있는 마블의 묘미,9,2018.08.26,인피니티 워
마블시리즈 중 제일 괜찮음,8,2018.08.25,인피니티 워
이건 뭐~  이 정도 돈과 출연진 가지고 이렇게 망칠 수도 있구나를 보여주는 대표작? 차라리 그냥 싸우고 부수는 거에만 집중했으면 기본은 했을텐데 역량도 안되며 진지하게 내용을 끌어가려고 욕심을 부리다 이도 저도 아닌 졸작을 만든 경우. 킬링타임용으로도 시간이 아까운 영화.,2,2018.08.24,인피니티 워
이팀저팀 왔다갔다.. 진득히 몰입을 할수가 없었다. 근데 앤트맨은 못본것같은데 출연자 명단에 있네 나만 봇본걸까?,8,2018.08.22,인피니티 워
다음편 언제나옴..???,10,2018.08.21,인피니티 워
마블 팬이라면 반드시 봐야하는 영화,10,2018.08.19,인피니티 워
정말 한순간도 놓치고 싶지 않을 정도로 너무 재미있게 봤고 무엇보다 마지막을 그렇게 해놔서 미치도록 궁금합니다!! 진짜 어떻게 다음 편을 기다리죠..?,10,2018.08.18,인피니티 워
맛있는 비빔밥 먹는 느낌이였음 ~~  1점 .0점 애들은 그냥 마블하고 인연 끊길 빔 ~ 감독이 보여주고자 하는걸 이해하려는게 아닌  본인들 입맛에 맞는 영화를 만들길 원하는 이기적인 마인드만 가진 리뷰는 ~~ 그냥 니들이 만들어서 봤음 좋겠음 .,10,2018.08.18,인피니티 워
저 많은 캐릭터들을 낭비없이 잘만들었네 재밌게 봤다 그런데  다음편 영화는 어떻게 나오려고 이러나..싶기도 하고  그래도 개인적 취향은 아닌 영화다,7,2018.08.17,인피니티 워
"볼거리는 많아서 시간 때우기 딱 좋음,, 때려부수고 무지막지하게 싸우고 어찌보면 타노스의 철학이 영화  ""the day earth stood still""에서 지구를 구하려는 외계 생명체의 철학과 아주 약간 overlap 되네요",7,2018.08.16,인피니티 워
중간중간 넘 지루해~~~~~~~~~~~,3,2018.08.16,인피니티 워
다음편을 위한 허접한 예고편...그냥 5분짜리 나레이션으로도 충분히 설명 가능했을걸...,5,2018.08.13,인피니티 워
비젼보다 더 강한 스파이 ㅋㅋㅋㅋ,1,2018.08.13,인피니티 워
막강한 나쁜놈 한놈과 착한놈들 선이 악을 이긴다는 카타르시스도 없고 처절한 몸부림들만,5,2018.08.13,인피니티 워
"물론 타노스가 생명체의 절반을 날리는 데 성공한 것은 많이 아쉽지만, 그래도 정말 제 인생작입니다. 연출도 연출이지만 특히 배경음악이.... 너무 대단한 것 같습니다!!",10,2018.08.12,인피니티 워
결말이 다음 편을 위한 떡밥이라 만점주기는 머한... 그래도 이렇게 화려한 캐스팅을 다시 볼 수 있을까요?? 진짜 2시간 반이 금방 지나간 느낌!!,9,2018.08.12,인피니티 워
고만고만하네 잘봣어 킬링타임용!,7,2018.08.12,인피니티 워
와칸다 포에버 ! 타노스가 우주를 정말 점령할것인가.. 어벤져스들이 타노스의 스톤을 다 막을줄 알았는데  마지막에 다가져가네,7,2018.08.12,인피니티 워
애들 영화인가봐. 한 10분 보다 말았네. 혹성탈출 쯤 되나 기대했었는데..,0,2018.08.12,인피니티 워
"타노스는 이미 할일을 다 했다.  남은건 어벤져스가 과거로 돌아가 어느 부분에서 타노스의 계획을 망칠 것인가!?, 그 계획은 아이언맨만이 알고 있지...크크크",10,2018.08.11,인피니티 워
그냥 볼만한정도,6,2018.08.11,인피니티 워
당연히 10점 ㄱㄱ,10,2018.08.11,인피니티 워
극장에서 봤으면 더 잼났을듯- 마블답네요^_^,7,2018.08.08,인피니티 워
여러 마블 히어로들을 한꺼번에 볼 수 있어서 좋았고 재밌었음 다음편 기대,8,2018.08.08,인피니티 워
적을 살려주는 캡틴 아메리카와 블랙 위도우 그리고 시간을 끌고 방어해야 하는 시점에서 병력 분산을 하면 되는데 방어막 문을 부분적으로 열라고 하는 와칸다 왕인 블랙팬서 그리고 그 후 적술 적인 공격은 하지 않고 오직 돌진 공격만 하는 부분만 빼면 볼만 한 영화네요. 지루하지 않고 잘 봤습니다,7,2018.08.07,인피니티 워
그냥저냥 볼만함,7,2018.08.07,인피니티 워
"마블의 히어로들이 다 모였네... 기존 어벤져스 + 닥터스트레인져 + 가디언즈 + 블랙팬서까지.. 많은 마블영화 히어로가 나와 난잡할줄 알았는데 그래도 나름 조화롭게 잘 만들은거 같다... 근데 웬지 마블 세계관을 모르면 호불호가 있을수도... 마블관이나 캐릭터를 알면 재미가 배가 되지만... 스케일도 크고 재미가 있어, 시간가는줄 모르게 보다 보니 2시간 30분이 끝나 버렸다... 3편중 1편이 이정도니 2,3편은 더 기대가 되는구만...",9,2018.08.07,인피니티 워
너무좋아요하고싶어요안될까요제발보내드립니다!네,10,2018.08.07,인피니티 워
타노스가 제일  인간적이군,7,2018.08.07,인피니티 워
잡탕이지만 홈비디오로는 여전히 선방.,6,2018.08.06,인피니티 워
재밌긴 하나 덩 싸다가 중간에 끊고 나온 듯한 느낌...,8,2018.08.06,인피니티 워
이번이 제일 멋있더라고요.,10,2018.08.06,인피니티 워
이렇게 긴 장편의 화보를 찍느라 고생했다. 빈스 디젤이 있었다는 건 출연스텝 보고 알았네. 그루트였다니...,6,2018.08.06,인피니티 워
다잡은 보스를 쪼렙 한놈이 어이없는 열폭실수로 못죽여서 우주 생명체 50%가 죽는다는 간단한 내용.,1,2018.08.06,인피니티 워
3편의 2부가 몹시 기다려집니다. ^^,8,2018.08.05,인피니티 워
젤 어이없는 장면 타노스 잡아놓고 파터 퀄 총으로 타노스 대가리 때림ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 나같으면 총으로 대가리에 구멍을ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,5,2018.08.05,인피니티 워
4편에 대한 기대감의 정점을 찍어준다.,8,2018.08.05,인피니티 워
그냥 종합선물 셋트!! 그것도 명품으로 가득 찬!!!,10,2018.08.05,인피니티 워
뭔 소리야.. 후속편이 없으면 이야기가 끝나는것이 아니잖아,6,2018.08.05,인피니티 워
이미 영화관 다녀왔는데 평점 안올린 내가 범죄자 ㅋㅋㅋ 재미없으면 최소 사람아님(?),10,2018.08.05,인피니티 워
상상력의 무한대를 봤다. 후속편 기대된다.,9,2018.08.05,인피니티 워
후속작이 없다면 10점.절대 그럴리 없으니...,6,2018.08.05,인피니티 워
스포해서 알긴알았는데  재밋긴재밌엇어요  다음편 빨리 보고싶어ㅛ!!!,8,2018.08.04,인피니티 워
악당이지만 타노스의 고뇌가 나름대로 느껴진다.  어벤져스1편 보고 유치해서 중간시리즈를 잘 안봤었는데  이번편은 의외로 재미있어서 다음편을 기다리고 있다. 어떻게 풀어나갈지~ 타노스가 자기때문에 죽은 딸을 살리기 위해서  시간을 잠시 돌리려나...,9,2018.08.04,인피니티 워
크리스프랫..이쉐히만 안나오면 좋겠구먼...보다가  이쉐히재수없어서 간신히 견뎠네..정말 생긴것부터 대사까지 젤 싫어하는 타입..잦같은쉐히 토나와,1,2018.08.04,인피니티 워
좀 아쉬운 장면이 스타로드가 네뷸라 죽은거 알고 발광 할때... 차라리 타노스에 팔을 잘라 버렸더라면.... 그런데 공교 롭게도 잘라진 팔도 결국 장갑끼고 있어서 다시 붙어 버리는거지... 이랬더라면 좋았을껄.... 왜 되도 안되는 주먹질을 ㅡ.ㅡ,9,2018.08.04,인피니티 워
뭔 지껄이여 뭐가 어쩌자고 마블이,1,2018.08.04,인피니티 워
나에게  어벤져스는 팝콘 무비 그 이상 그이하도  아녔지만 이번 편은 달랐다..모든 캐릭터가 생생하게 개성을 잃지 않고 어우러진다!!,9,2018.08.04,인피니티 워
일단 각기 다른 히어로 그룹들이 한 영화에 같이 등장하는 것만으로도 재미있었다.,9,2018.08.04,인피니티 워
잘 버무러진 부페음식같은 영화 맛은 별로 없고,7,2018.08.04,인피니티 워
good,9,2018.08.04,인피니티 워
"어벤져스.. 내 스타일 아니어서 기대 안했는데, 이번 편은 꽤 재밌네.유치하고 오글거리는 장면들도 있었으나,마지막 한 방이 대단했다.왠지 타노스가 불쌍해~",7,2018.08.03,인피니티 워
다양하고 빠른 전개가 좋았음~,8,2018.08.03,인피니티 워
짱이다,10,2018.08.03,인피니티 워
이젠 그만 좀 섞었으면 ㅠ,7,2018.08.03,인피니티 워
후속편을 미치도록 보고싶게 만들었다.,8,2018.08.03,인피니티 워
악당중에 배트맨 다크나이트의 히스레저가 연기한 조커이후에 가장 매력적인 악당인듯. 결국은 우주의 생존을 위해 자기가 희생한다는것 아닌가? 자기의 행동을 설명하는 장면이 인상깊다.,9,2018.08.03,인피니티 워
이정도면 최소 8.5점은 줘야 하지 않냐? 도대체 얼마나 더 재미 있어야 하는건데..ㅋ,10,2018.08.02,인피니티 워
지금까지의 히어로물중 평범하지 않아 볼만하긴 한데.. 왜 내가 좋아하는 스파이더맨을 애로 만들어 아이언맨 부하노릇이나 하게 만들어 버렸냐...,7,2018.08.02,인피니티 워
마블 역대 최고 직품!  꿀잼 반전 실화?,10,2018.08.02,인피니티 워
상영할때볼껄...ㅜㅜ 대박이네... 다음편 완전기대 ^^,9,2018.08.02,인피니티 워
역시 헐리우드 스케일이 너무커서 각 캐릭터 알고봐야 할거같음,9,2018.08.02,인피니티 워
블랙팬서 드릅게 나쁜놈이네요   전세계의 초능력과 기술력 우주의 능력자들이 쳐들어와 싸우는데   칼 도끼들고 있는 부족놈들은 뭐야.....노예라서 첨단무기 안주는겨?   블랙팬서란 캐릭터 자체가 영화에 민폐같다....그냥 죽여서 없애라,2,2018.08.02,인피니티 워
후속편을 위한 영화일뿐. 설명도 액션도 지겨웠다.블랙팬서도 졸리더니 요새 어벤져스는 관객은 안중에도 없다. 아무튼 설명지루하고 액션도 시시하고 보다보다 졸기까지 이걸돈내고보라니. 넘하네,1,2018.08.02,인피니티 워
ㅍㅎㅎㅎ,1,2018.08.02,인피니티 워
"1800년대 초에 인구보다 6배가 증가하고 자원 이용율은 70배가 증가한 현재의 지구...인간의 탐욕과 인구수 증가는 지구온난화와 자원 고갈이라는 대 격변을 겪게 될 것이다. 이게 먼 미래가 될지 아니면 천지 창조주의 종말이 될지..모르지만,타이탄 행성처럼 인류 반을 죽일 수 있는 우울한 미래가 오지 않는다고 누가 장담할까?그런 종말적 세계관을 마블의 히어로들의 총집합으로 재밌게 그려냈다.단, 등장 히어로들이 많다보니 스토리 초반 집중이 좀 힘들었다.",8,2018.08.02,인피니티 워
별 반개도 아깝다.  시빌부터 쓰레기더니 혹시나하고 밨더니 역시나.   쓰레기.  이런걸보고 좋아 날리치는 호구놈들은 뭔지.  다운싸이트에서 300우ㅏㄴ에 봐도 아깝겠다.  이건무슨 내용도없고. 짬뽕이랑 짜장이랑 비벼놓은맛.  개밥이지,1,2018.08.02,인피니티 워
최고의 빌런은 빅지훈. 진짜 오역 논란 나오기전까지. 진짜 마지막 어머님한테 전화하다가 닉퓨릭 죽은지 알았다.,1,2018.08.01,인피니티 워
이게 뭔 영화인지  참...,1,2018.08.01,인피니티 워
상상력 끝판왕 !!,9,2018.08.01,인피니티 워
대박! 각 히어로 영화는 너무 재밌는데 어벤져스는 별로라서 이번엔 극장가서 안봤는데... 너~무 재밌음!!! 이게 7점대 평점이라니..,10,2018.08.01,인피니티 워
"두시간반~시간가는줄모르고 볼수는 있음,가디언즈도나오고 나오는사람이 엄청많다!~복잡하다~",5,2018.08.01,인피니티 워
역대 마블 최고,10,2018.08.01,인피니티 워
스타로드 멍청이가 망쳤구만.   단순무식,8,2018.08.01,인피니티 워
후속작이 기다려짐,9,2018.08.01,인피니티 워
역대 최강급 히어로 영화이다 후속작이 기다려지기는 처음인거 같다. 많은 수의 영웅들을 각각의 개성을 살려서 돋보이게 골고루 배분하고 균등하게 맞춘 보기드문 수작이다.,10,2018.07.31,인피니티 워
진짜 재미있던가요 에휴,3,2018.07.31,인피니티 워
무언가 단점이 있는 것 같은 데 못 찾겠어.,9,2018.07.31,인피니티 워
다음편은 언제 나오나,10,2018.07.31,인피니티 워
이렇게 대중적이면서  생각을 하게 만드는 히어로 무비라니 .. 내취향은  왓치맨이지만  인피니티워는 인정하지 않을수가 없다,10,2018.07.31,인피니티 워
이 많은 캐릭터를 이렇게 잘 소화할 수 있다는 건 돈만가지고 되는게 아닌 듯!,9,2018.07.30,인피니티 워
너무나도 명작이었고 재밌었지만 박지훈 때문에 너무 아쉽다,10,2018.07.29,인피니티 워
악당에 홀려버렸다,8,2018.07.25,인피니티 워
타노스의 고뇌가 영화 전편에.... 정말 마블영화는 재미로만 봤는데 이번편은 철학이 담겨있었다 DC를 넘어선 타노스의 철학과 번뇌가...,10,2018.07.24,인피니티 워
캡틴아메리카 편도 좋았지만..이번편은 정말 압도적이다.,10,2018.07.19,인피니티 워
여윽시 마블,10,2018.07.18,인피니티 워
오~~ 종합선물셋트,9,2018.07.14,인피니티 워
크레딧 올라올때부터 충격먹었어요 ㅋㅋㅋㅋ 나중에 더큰 활약기대하겠습니다! 와칸다포에버!!!!,10,2018.07.12,인피니티 워
이제 남은건타노스 밖에,10,2018.07.12,인피니티 워
타노스는 발암물질이다.,9,2018.07.12,인피니티 워
정말재미있게봤습니다,10,2018.07.10,인피니티 워
"괜찮았음. 그런데 도끼자루의 그루트목재는 도끼힘을 감당하는데, 타노스한테는 훕! 한방에 쪼개지는게 옥의티랄까요.",8,2018.07.09,인피니티 워
개인적으론 명작이라고 생각함.,9,2018.07.09,인피니티 워
재밌어요.ㅎ,10,2018.07.08,인피니티 워
혼란 그리고 혼란,10,2018.07.07,인피니티 워
재밌게 봤습니다!역시 마블영화!,10,2018.07.06,인피니티 워
재미있게 봤다,10,2018.07.04,인피니티 워
재미있게 봤어요 어밴져는 4나올듯,10,2018.07.03,인피니티 워
믿고보는 마블,10,2018.07.01,인피니티 워
꿀잼~ 와칸다 포에버!,10,2018.06.30,인피니티 워
너무 재밌어요,10,2018.06.30,인피니티 워
잼있다,10,2018.06.30,인피니티 워
처음부터 끝까지 전투,7,2018.06.29,인피니티 워
이 영화가 재미없다니 5번이나 봤다 나는 1000만 관객 돌파 영상도 영화 상영 전에 찍은거면 말 다했다,10,2018.06.28,인피니티 워
역시 블랙펜서 역시 목소리가 예술이다. 와칸다 포에버,8,2018.06.28,인피니티 워
발지훈 발번역 땜에 재미가 반감됐다. 하필 중요부분을 발번역해서 내용이 이상해졌다. 1100만명 이상 관람 했는데~  1100만명의 149분 어떻할래? 게속 번역 맡길거냐?,1,2018.06.21,인피니티 워
시빌워와 함께 마블 영화의 최고 작품,9,2018.06.19,인피니티 워
기다리고 기다리던 역대급 영화였다. 4편이 매우 기대된다. 앤트맨과 호크아이가 나오지 않은게 좀 아쉬웠다. 번역때문에 스타로드는 트롤이 되고 닥스는 찐따가 됬고 닉퓨리는 효자가 됬고 아스가르드인들은 몰살 당했다(...),10,2018.06.18,인피니티 워
................................!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,0,2018.06.17,인피니티 워
완전 허무한 엔딩 ㅠ 중간 중간 스릴 은 있지만 내용은 정말 없다. Meaningless 이거왜봤지..  :( 그러나 토르는 멋졌다 마블은 역시 케릭터 굿!  .,1,2018.06.14,인피니티 워
정말 스릴잇다,10,2018.06.14,인피니티 워
마블 너무 사랑해요 최고였어요 진짜ㅜㅠ,10,2018.06.14,인피니티 워
마지막은 좀 사기 당한...,8,2018.06.13,인피니티 워
마블은 미쳤다  ㄹㅇ 너무 재밌어 마블 사랑해요~~~~♡♡♡♡♡☆,10,2018.06.12,인피니티 워
아들 때문에 같이 가서 봤는데 그냥 볼만함. 히어로가 그렇게 나와도 타노스 하나 못 당하는 건 좀...ㅎㅎ,7,2018.06.12,인피니티 워
어머니...전 불매해야할거같아요....ㅋㅋㅋㅋㅋㅋㅋㅋ이제부터 마블 박읍읍덕분에 불매합니다,1,2018.06.11,인피니티 워
돈의 힘,10,2018.06.11,인피니티 워
영화적 긴장감 스릴이 없음.  그냥 불꽃쇼의 연속이며 영화가 아니라 만화한편 본거 같음.   현실에 존재불가한 이야기라 현실감부족... 레디플레이어원은 현실과의 연결의 끈을 놓지 않아 감동도 느꼇는데 이건 뭐... 그냥 불꽃쇼임..  굳이 실사배우들 등장 시킬 필요없이 다 CG로 찍던가...,5,2018.06.10,인피니티 워
마블의 숙제해결,6,2018.06.09,인피니티 워
정말 스릴 넘쳐요!!!! 강추~~~,8,2018.06.09,인피니티 워
"개인적으로 1, 2편은 그냥 오락영화. 3편에서야 드디어 작품이 탄생했다고 느껴지네요 ㅎㅎ. 악역도 너무 멋짐.",10,2018.06.09,인피니티 워
너무 재미있게 봤네요,9,2018.06.09,인피니티 워
타노스 가오라는 좀 뜨는 감이 있지만.. 그래도 . 넘 잼나게 봤어요  토르 토르  !!!  헤헷  ♡ 악당이 신념을 가질때 . 무서움,9,2018.06.07,인피니티 워
dksqhkwjdy,1,2018.06.06,인피니티 워
밑에 글에 짜임새는 좋으나 존재감을 상쇄??? 니가 뭘 알긴알아???ㅋㅋㅋㅋㅋㅋㅋㅋ 여기 말고 유머게시판에가서 올려 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,10,2018.06.06,인피니티 워
짜임새는 좋으나 그 많은 히어로들 출현이  서로 간의 존재감을 상쇄.  철학을 담으려 하나 결국 마블은 마블,6,2018.06.06,인피니티 워
오락영화 넘어선 작품성   대단한 미국영화~힘이 느껴지는 작품,10,2018.06.06,인피니티 워
어케 이게 7점밖에 안되는거지.ㅋㅋ,10,2018.06.05,인피니티 워
ㅋㅋㅋ,9,2018.06.05,인피니티 워
근래 마블 영화중에는 제일 볼만함. 한 8점은 충분히 나옴,9,2018.06.05,인피니티 워
아직도 않보면 사람아니지 빨리봐라,8,2018.06.05,인피니티 워
크으~~~,10,2018.06.05,인피니티 워
타노스 카모라 살릴려고 과거로 되돌려서 자신이 희생하고 끝나는거아녀!후속편...,8,2018.06.04,인피니티 워
이 세상영화가 아니다                     ㅎㅎ,10,2018.06.04,인피니티 워
"황당하거나, 황망하거나",7,2018.06.04,인피니티 워
간절히 바라면 우주가 돕느니라.  -어느 공주마마님-,10,2018.06.04,인피니티 워
"1. 타노스는 악당이 아니다. 대사를 보면, 그가 그르다고 평가하기 어렵다. 2. 시간 인피니티스톤의 힘이 가장 절대적이고 강력하다. 시간의 의미. 3. 반지의제왕에 대한 오마쥬인지 아닌지 모르겠지만, 우주괴물들이 뚫린 보호막 안으로 덮쳐올때, 반지의제왕을 잠시 기억에 소환하여 그리움을 투영해봄. 어벤져스에서 반지의제왕을 느껴봄 4. 우주괴물이 뚫린 보호막사이로 압도적 양과 속도로 쓰나미처럼 덮쳐올때 1뻐로 달려나가는건 군사들이 아니라 캡틴 아메리카와 블랙팬서임. 뒤따라오는 군사들보다 엄청난 간격을 두고 미친듯이 빠르고 강하게 한순간의 망설임도 없이 달려나가는데.. 왈칵.. 눈물이 고였음 5. 동료의 희생을 감수하더라도 세계를 구하겠다, 가 아니라 그럼에도 불구하고 동료를 택하는 그들의 '결정'.  세상이 망해도 너를 구하겠다 또는 너죽고 세계를 구하느니 내가 너와 함께 죽겠다는 그 마음가짐이 어벤져스가 던지는 울림.",10,2018.06.04,인피니티 워
웅장한 대결 속에서도 웃음이 멈추지 않는 기이한 현상을 경험했다. 고된 상황에서도 개그를 버리지 않는 히어로들이라니. 어벤져스 존재 자체가 웃음 치료사.,10,2018.06.04,인피니티 워
킬링타임 액션영화로는 제격. 어벤저스 보면서  명작 영화를 기대하는건 아니잖아요?,10,2018.06.03,인피니티 워
재밌게 봤으나 인물이 많아서 집중이 조금 떨어지네요.  그래도 덜 지루하게 잘 표현했어요.,8,2018.06.03,인피니티 워
진짜 재밋었어요~♡♡♡,10,2018.06.03,인피니티 워
생각해보니... 영국 셜록과 미국 셜록이 만났네,10,2018.06.03,인피니티 워
밸런스패치가 좀 심각함... 특히 토르랑 닥스...  스토리도 너무 뻔하고... 액션신은 좋은데,6,2018.06.03,인피니티 워
여기 돈아깝다는둥 시간아까웠다는둥 쓰레기영화라는분들 알바인가요?.....진짜 궁금함?!  일반관람객으로써 솔직한 후기는  정말 2시간넘게 스토리이어가는것도 지루할틈없이 계속 볼거리 제공하고 영상미 효과 훌룡하고 영화비  아깝지않을  마블중에서도 최고라 평하고싶네요~ 다음편도 기대~♡.♡,10,2018.06.02,인피니티 워
돈 아깝다,2,2018.06.02,인피니티 워
imax 3d로 봤는데 상상 그 이상입니다,10,2018.06.01,인피니티 워
역시 기대를 저버리지 않네용^^,10,2018.05.31,인피니티 워
"일부 오역이 있긴 했지만, 딱히 보는데 지장있는 수준은 아니었다고 봅니다. (특히 쿠키영상에서의 닉퓨리 장면은, 이 오역을 이해 못했다 한들 내용 이해에 문제는 없다고 봄)  오역논란 기사 보면, '마지막에 탁터스트레인지 대사에서' 라는 말을 본걸 기억하는데 (이부분은 오역으로 문제가 있다고 봅니다) 영화 초반에 흥미롭게 보다가, 닥터스트레인지가 문제의 대사를 하는걸 보고 엥? 하면서 시계를 보니 2시간이 지났더라구요. 그만큼 몰입해서 본것 같습니다. 아들과 같이 봤는데, 마블 히어로를 좋아해서 그런지 매우 재미있게 보았습니다. 마블 덕후라면 박수를 칠 수 밖에 없는 영화일것 같습니다. 그런데 아무리 마블펜이 아니라고 할지라도...이 영화에 아무리 가혹한 점수를 주더라도 7 이하 점수는 너무 심한거 아닌가요? 스토리/개연성/액션/영상미/연기력 도대체 어디에서 감점이 그리 발생하는건지 모르겠네요.",10,2018.05.31,인피니티 워
마블히어로가 떼거지로나오는데 1100만관객이면 데드풀은 아주 혼자 하드캐리 원맨쇼를했구만....ㅎ,5,2018.05.31,인피니티 워
"번역오류가 심각하다는 말을듣고 정말 주의하면서 귀열고 봐야했다 그건 그렇다치고 마블 시네마 유니버스가 앞으로 몇년이나 버틸 수 있을까 걱정이든다 헐크 마크 러팔로, 아이언맨 로다주, 페퍼포츠 귀네스 펠트로, 워머신 돈 치들까지 주연들의 급격한 노화가 눈에띈다 이대로는 어벤저스는 다음이 한계가 아닐까 여전히 재미는 있는데 그래서 더 큰일이다",8,2018.05.31,인피니티 워
극장에서 12000원주고 보다가 잘뻔했다 애들용 떡밥 제대로 물었네,5,2018.05.30,인피니티 워
마블이니까 9점드림 뭔가 다른 영화가 더재밌어서 -1점,9,2018.05.30,인피니티 워
재미없다는 인간들은 도대체 어떤영화를봐야 재밌디고하냐??초딩들아 이해가안가 ㅠ남들다재밌다고하는 혼자만 재미없다??,10,2018.05.30,인피니티 워
재밌개 봤긴 한데....블랙팬서 올해 나왔는데..죽으니까....쫌 ....ㅋㅋㅋㅋ,10,2018.05.29,인피니티 워
